DayofTheMonth,MonthNumber,Year,HoursWorked,TotalAmount
9,4,2015,171.47457627118644,5441.2399664436325
9,6,2015,153.45762711864407,4946.870499462425
9,8,2019,124.03389830508473,4640.876958111288
9,7,2019,152.54237288135593,5697.224119578743
9,9,2018,145.6271186440678,5334.794583007918
9,10,2017,141.22033898305085,5047.859253744998
9,11,2019,150.5084745762712,5661.492630170704
9,8,2017,153.23728813559322,5450.307756005867
9,9,2016,163.83050847457628,5647.587561712304
9,3,2017,166.77966101694915,5853.8025765042885
9,4,2017,166.27118644067798,5852.106021470375
9,12,2017,162.20338983050848,5825.709890241752
9,10,2018,131.11864406779662,4813.129925793478
9,11,2017,159.71186440677965,5722.628130595377
9,2,2015,179.4915254237288,5564.237288135593
9,10,2019,151.01694915254237,5670.661437597668
9,12,2016,163.3050847457627,5682.336215713865
9,2,2019,155.08474576271186,5738.135593220339
9,7,2016,164.84745762711864,5644.812259710545
9,7,2015,176.94915254237287,5741.9097104179045
9,7,2017,161.74576271186442,5738.2909095375935
9,6,2016,160.35593220338984,5471.8424122706565
9,9,2019,151.52542372881356,5679.67515382234
9,2,2018,159.18644067796612,5743.886537026456
9,5,2015,165.96610169491527,5310.9152542372885
9,5,2018,159.66101694915255,5799.615442670716
9,1,2015,180.0,5400.0
9,3,2016,172.88135593220338,5833.303480425326
9,2,2017,165.28813559322035,5785.084745762712
9,4,2016,152.3728813559322,5161.324072583131
9,12,2015,158.40677966101694,5277.579242214602
9,8,2016,162.33898305084745,5577.78871324123
9,3,2019,154.5762711864407,5730.30743125785
9,1,2017,154.79661016949152,5402.243722740297
9,9,2015,175.9322033898305,5775.5775178790755
9,11,2018,148.61016949152543,5466.2282930854635
9,8,2018,158.135593220339,5781.032227656571
9,9,2017,153.72881355932202,5481.485899032134
9,12,2018,156.10169491525423,5753.23015033379
9,8,2015,171.4406779661017,5596.809737481667
9,7,2018,158.64406779661016,5787.453100628772
9,10,2015,166.4237288135593,5491.983050847457
9,6,2018,141.15254237288136,5138.393536429505
9,1,2019,155.59322033898306,5745.778061931003
9,5,2017,165.76271186440678,5850.015180413956
9,2,2016,173.38983050847457,5826.860839796553
9,4,2019,140.0677966101695,5202.318042940307
9,12,2019,150.0,5652.171862180291
9,11,2016,168.8135593220339,5856.212558776972
9,6,2019,145.05084745762713,5407.511532753605
9,3,2015,172.98305084745763,5434.126501992879
9,10,2016,156.32203389830508,5406.018570077588
9,11,2015,161.91525423728814,5369.478618433704
9,3,2018,160.67796610169492,5810.82448725671
9,1,2016,162.89830508474577,5451.245434289644
9,4,2018,153.16949152542372,5551.627913754683
9,1,2018,141.6949152542373,5101.016949152542
9,6,2017,143.25423728813558,5069.07479576103
9,5,2016,151.864406779661,5163.389830508474
9,5,2019,153.5593220338983,5714.1116798543635
